Tournament,Date,Series,Surface,Round,Player_1,Player_2,Winner,Rank_1,Rank_2,Winner_rank,Loser_rank
Brisbane International,2016-01-04,ATP250,Hard,1st Round,Dimitrov G.,Simon G.,Dimitrov G.,28,15,28,15
Brisbane International,2016-01-05,ATP250,Hard,1st Round,Goffin D.,Bellucci T.,Goffin D.,16,37,16,37
Brisbane International,2016-01-05,ATP250,Hard,1st Round,Johnson S.,Troicki V.,Troicki V.,32,22,22,32
Brisbane International,2016-01-07,ATP250,Hard,2nd Round,Dimitrov G.,Troicki V.,Dimitrov G.,28,22,28,22
Brisbane International,2016-01-08,ATP250,Hard,Quarterfinals,Nishikori K.,Tomic B.,Tomic B.,8,18,18,8
Brisbane International,2016-01-08,ATP250,Hard,Quarterfinals,Thiem D.,Cilic M.,Thiem D.,20,13,20,13
Brisbane International,2016-01-08,ATP250,Hard,Quarterfinals,Dimitrov G.,Federer R.,Federer R.,28,3,3,28
Brisbane International,2016-01-09,ATP250,Hard,Semifinals,Raonic M.,Tomic B.,Raonic M.,14,18,14,18
Brisbane International,2016-01-09,ATP250,Hard,Semifinals,Thiem D.,Federer R.,Federer R.,20,3,3,20
Brisbane International,2016-01-10,ATP250,Hard,The Final,Raonic M.,Federer R.,Raonic M.,14,3,14,3
Chennai Open,2016-01-05,ATP250,Hard,1st Round,Bedene A.,Pospisil V.,Bedene A.,45,39,45,39
Chennai Open,2016-01-08,ATP250,Hard,Quarterfinals,Wawrinka S.,Garcia-Lopez G.,Wawrinka S.,4,27,4,27
Chennai Open,2016-01-08,ATP250,Hard,Quarterfinals,Coric B.,Bautista R.,Coric B.,44,25,44,25
Chennai Open,2016-01-09,ATP250,Hard,Semifinals,Paire B.,Wawrinka S.,Wawrinka S.,19,4,4,19
Chennai Open,2016-01-09,ATP250,Hard,Semifinals,Coric B.,Bedene A.,Coric B.,44,45,44,45
Chennai Open,2016-01-10,ATP250,Hard,The Final,Coric B.,Wawrinka S.,Wawrinka S.,44,4,4,44
Qatar Exxon Mobil Open,2016-01-06,ATP250,Hard,2nd Round,Verdasco F.,Djokovic N.,Djokovic N.,49,1,1,49
Qatar Exxon Mobil Open,2016-01-07,ATP250,Hard,Quarterfinals,Djokovic N.,Mayer L.,Djokovic N.,1,35,1,35
Qatar Exxon Mobil Open,2016-01-08,ATP250,Hard,Semifinals,Berdych T.,Djokovic N.,Djokovic N.,6,1,1,6
Qatar Exxon Mobil Open,2016-01-09,ATP250,Hard,The Final,Djokovic N.,Nadal R.,Djokovic N.,1,5,1,5
ASB Classic,2016-01-11,ATP250,Hard,1st Round,Pospisil V.,Karlovic I.,Pospisil V.,39,23,39,23
ASB Classic,2016-01-12,ATP250,Hard,1st Round,Bautista R.,Vesely J.,Bautista R.,25,42,25,42
ASB Classic,2016-01-12,ATP250,Hard,1st Round,Sousa J.,Fognini F.,Fognini F.,33,21,21,33
ASB Classic,2016-01-13,ATP250,Hard,2nd Round,Young D.,Bautista R.,Bautista R.,46,25,25,46
ASB Classic,2016-01-13,ATP250,Hard,2nd Round,Sock J.,Pospisil V.,Sock J.,26,39,26,39
ASB Classic,2016-01-13,ATP250,Hard,2nd Round,Kohlschreiber P.,Tsonga J.W.,Tsonga J.W.,34,10,10,34
ASB Classic,2016-01-13,ATP250,Hard,Quarterfinals,Sock J.,Anderson K.,Sock J.,26,12,26,12
ASB Classic,2016-01-14,ATP250,Hard,Quarterfinals,Bautista R.,Isner J.,Bautista R.,25,11,25,11
ASB Classic,2016-01-14,ATP250,Hard,Quarterfinals,Fognini F.,Tsonga J.W.,Tsonga J.W.,21,10,10,21
ASB Classic,2016-01-15,ATP250,Hard,Semifinals,Sock J.,Ferrer D.,Sock J.,26,8,26,8
ASB Classic,2016-01-15,ATP250,Hard,Semifinals,Tsonga J.W.,Bautista R.,Bautista R.,10,25,25,10
Apia International,2016-01-12,ATP250,Hard,1st Round,Gabashvili T.,Mayer L.,Gabashvili T.,50,35,50,35
Apia International,2016-01-12,ATP250,Hard,1st Round,Dolgopolov O.,Bellucci T.,Dolgopolov O.,36,37,36,37
Apia International,2016-01-12,ATP250,Hard,1st Round,Muller G.,Coric B.,Muller G.,38,40,38,40
Apia International,2016-01-13,ATP250,Hard,2nd Round,Cuevas P.,Dimitrov G.,Dimitrov G.,41,28,28,41
Apia International,2016-01-13,ATP250,Hard,2nd Round,Troicki V.,Robredo T.,Troicki V.,22,43,22,43
Apia International,2016-01-15,ATP250,Hard,Quarterfinals,Muller G.,Chardy J.,Muller G.,38,31,38,31
Apia International,2016-01-15,ATP250,Hard,Quarterfinals,Dimitrov G.,Dolgopolov O.,Dimitrov G.,28,36,28,36
Apia International,2016-01-15,ATP250,Hard,Semifinals,Muller G.,Dimitrov G.,Dimitrov G.,38,28,28,38
Apia International,2016-01-15,ATP250,Hard,Semifinals,Troicki V.,Gabashvili T.,Troicki V.,22,50,22,50
Apia International,2016-01-16,ATP250,Hard,The Final,Dimitrov G.,Troicki V.,Troicki V.,28,22,22,28
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Nishikori K.,Kohlschreiber P.,Nishikori K.,7,34,7,34
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Thiem D.,Mayer L.,Thiem D.,20,36,20,36
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Pospisil V.,Simon G.,Simon G.,39,15,15,39
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Gabashvili T.,Seppi A.,Seppi A.,44,29,29,44
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Klizan M.,Bautista R.,Bautista R.,43,21,21,43
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Tsonga J.W.,Baghdatis M.,Tsonga J.W.,10,46,10,46
Australian Open,2016-01-19,Grand Slam,Hard,1st Round,Muller G.,Fognini F.,Muller G.,38,23,38,23
Australian Open,2016-01-19,Grand Slam,Hard,1st Round,Verdasco F.,Nadal R.,Verdasco F.,45,5,45,5
Australian Open,2016-01-19,Grand Slam,Hard,1st Round,Bedene A.,Johnson S.,Johnson S.,49,32,32,49
Australian Open,2016-01-20,Grand Slam,Hard,2nd Round,Federer R.,Dolgopolov O.,Federer R.,3,35,3,35
Australian Open,2016-01-20,Grand Slam,Hard,2nd Round,Kyrgios N.,Cuevas P.,Kyrgios N.,30,41,30,41
Australian Open,2016-01-21,Grand Slam,Hard,2nd Round,Robredo T.,Raonic M.,Raonic M.,42,14,14,42
Australian Open,2016-01-21,Grand Slam,Hard,2nd Round,Johnson S.,Bellucci T.,Johnson S.,32,37,32,37
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Thiem D.,Goffin D.,Goffin D.,20,16,16,20
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Nishikori K.,Garcia-Lopez G.,Nishikori K.,7,27,7,27
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Federer R.,Dimitrov G.,Federer R.,3,28,3,28
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Djokovic N.,Seppi A.,Djokovic N.,1,29,1,29
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Cilic M.,Bautista R.,Bautista R.,13,21,21,13
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Berdych T.,Kyrgios N.,Berdych T.,6,30,6,30
Australian Open,2016-01-23,Grand Slam,Hard,3rd Round,Lopez F.,Isner J.,Isner J.,19,11,11,19
Australian Open,2016-01-23,Grand Slam,Hard,3rd Round,Raonic M.,Troicki V.,Raonic M.,14,26,14,26
Australian Open,2016-01-23,Grand Slam,Hard,3rd Round,Ferrer D.,Johnson S.,Ferrer D.,8,32,8,32
Australian Open,2016-01-23,Grand Slam,Hard,3rd Round,Sousa J.,Murray A.,Murray A.,33,2,2,33
Australian Open,2016-01-24,Grand Slam,Hard,4th Round,Tsonga J.W.,Nishikori K.,Nishikori K.,10,7,7,10
Australian Open,2016-01-24,Grand Slam,Hard,4th Round,Djokovic N.,Simon G.,Djokovic N.,1,15,1,15
Australian Open,2016-01-24,Grand Slam,Hard,4th Round,Bautista R.,Berdych T.,Berdych T.,21,6,6,21
Australian Open,2016-01-24,Grand Slam,Hard,4th Round,Federer R.,Goffin D.,Federer R.,3,16,3,16
Australian Open,2016-01-25,Grand Slam,Hard,4th Round,Raonic M.,Wawrinka S.,Raonic M.,14,4,14,4
Australian Open,2016-01-25,Grand Slam,Hard,4th Round,Isner J.,Ferrer D.,Ferrer D.,11,8,8,11
Australian Open,2016-01-25,Grand Slam,Hard,4th Round,Murray A.,Tomic B.,Murray A.,2,17,2,17
Australian Open,2016-01-26,Grand Slam,Hard,Quarterfinals,Berdych T.,Federer R.,Federer R.,6,3,3,6
Australian Open,2016-01-26,Grand Slam,Hard,Quarterfinals,Djokovic N.,Nishikori K.,Djokovic N.,1,7,1,7
Australian Open,2016-01-27,Grand Slam,Hard,Quarterfinals,Ferrer D.,Murray A.,Murray A.,8,2,2,8
Australian Open,2016-01-27,Grand Slam,Hard,Quarterfinals,Raonic M.,Monfils G.,Raonic M.,14,25,14,25
Australian Open,2016-01-28,Grand Slam,Hard,Semifinals,Federer R.,Djokovic N.,Djokovic N.,3,1,1,3
Australian Open,2016-01-29,Grand Slam,Hard,Semifinals,Murray A.,Raonic M.,Murray A.,2,14,2,14
Australian Open,2016-01-31,Grand Slam,Hard,The Final,Murray A.,Djokovic N.,Djokovic N.,2,1,1,2
Garanti Koza Sofia Open,2016-02-03,ATP250,Hard,2nd Round,Rosol L.,Klizan M.,Klizan M.,46,44,44,46
Garanti Koza Sofia Open,2016-02-05,ATP250,Hard,Quarterfinals,Bautista R.,Mannarino A.,Bautista R.,18,49,18,49
Garanti Koza Sofia Open,2016-02-05,ATP250,Hard,Quarterfinals,Garcia-Lopez G.,Muller G.,Muller G.,27,42,42,27
Garanti Koza Sofia Open,2016-02-05,ATP250,Hard,Quarterfinals,Troicki V.,Kohlschreiber P.,Troicki V.,25,34,25,34
Garanti Koza Sofia Open,2016-02-05,ATP250,Hard,Quarterfinals,Seppi A.,Klizan M.,Klizan M.,31,44,44,31
Garanti Koza Sofia Open,2016-02-06,ATP250,Hard,Semifinals,Bautista R.,Muller G.,Bautista R.,18,42,18,42
Garanti Koza Sofia Open,2016-02-06,ATP250,Hard,Semifinals,Klizan M.,Troicki V.,Troicki V.,44,25,25,44
Garanti Koza Sofia Open,2016-02-07,ATP250,Hard,The Final,Bautista R.,Troicki V.,Bautista R.,18,25,18,25
Argentina Open,2016-02-09,ATP250,Clay,1st Round,Ramos-Vinolas A.,Cuevas P.,Cuevas P.,46,35,35,46
Argentina Open,2016-02-09,ATP250,Clay,1st Round,Delbonis F.,Fognini F.,Delbonis F.,45,24,45,24
Argentina Open,2016-02-11,ATP250,Clay,2nd Round,Tsonga J.W.,Mayer L.,Tsonga J.W.,9,37,9,37
Argentina Open,2016-02-13,ATP250,Clay,Quarterfinals,Ferrer D.,Cuevas P.,Ferrer D.,6,35,6,35
Argentina Open,2016-02-13,ATP250,Clay,Semifinals,Nadal R.,Thiem D.,Thiem D.,5,19,19,5
ABN AMRO World Tennis Tournament,2016-02-09,ATP500,Hard,1st Round,Muller G.,Seppi A.,Muller G.,40,36,40,36
ABN AMRO World Tennis Tournament,2016-02-09,ATP500,Hard,1st Round,Klizan M.,Robredo T.,Klizan M.,43,39,43,39
ABN AMRO World Tennis Tournament,2016-02-10,ATP500,Hard,1st Round,Sousa J.,Bautista R.,Bautista R.,33,17,17,33
ABN AMRO World Tennis Tournament,2016-02-10,ATP500,Hard,2nd Round,Muller G.,Cilic M.,Cilic M.,40,13,13,40
ABN AMRO World Tennis Tournament,2016-02-10,ATP500,Hard,2nd Round,Monfils G.,Coric B.,Monfils G.,18,38,18,38
ABN AMRO World Tennis Tournament,2016-02-12,ATP500,Hard,Quarterfinals,Bautista R.,Klizan M.,Klizan M.,17,43,43,17
ABN AMRO World Tennis Tournament,2016-02-12,ATP500,Hard,Quarterfinals,Kohlschreiber P.,Cilic M.,Kohlschreiber P.,32,13,32,13
ABN AMRO World Tennis Tournament,2016-02-13,ATP500,Hard,Semifinals,Kohlschreiber P.,Monfils G.,Monfils G.,32,18,18,32
ABN AMRO World Tennis Tournament,2016-02-14,ATP500,Hard,The Final,Klizan M.,Monfils G.,Klizan M.,43,18,43,18
Delray Beach Open,2016-02-19,ATP250,Hard,Quarterfinals,Mannarino A.,Dimitrov G.,Dimitrov G.,49,28,28,49
Open 13,2016-02-16,ATP250,Hard,1st Round,Simon G.,Gabashvili T.,Gabashvili T.,15,44,44,15
Open 13,2016-02-16,ATP250,Hard,1st Round,Kyrgios N.,Pospisil V.,Kyrgios N.,41,42,41,42
Open 13,2016-02-18,ATP250,Hard,2nd Round,Kyrgios N.,Gabashvili T.,Kyrgios N.,41,44,41,44
Open 13,2016-02-19,ATP250,Hard,Quarterfinals,Kyrgios N.,Gasquet R.,Kyrgios N.,41,10,41,10
Open 13,2016-02-19,ATP250,Hard,Quarterfinals,Wawrinka S.,Paire B.,Paire B.,4,22,22,4
Open 13,2016-02-19,ATP250,Hard,Quarterfinals,Berdych T.,Goffin D.,Berdych T.,8,17,8,17
Open 13,2016-02-20,ATP250,Hard,Semifinals,Paire B.,Cilic M.,Cilic M.,22,12,12,22
Open 13,2016-02-20,ATP250,Hard,Semifinals,Kyrgios N.,Berdych T.,Kyrgios N.,41,8,41,8
Open 13,2016-02-21,ATP250,Hard,The Final,Cilic M.,Kyrgios N.,Kyrgios N.,12,41,41,12
Rio Open,2016-02-16,ATP500,Clay,1st Round,Delbonis F.,Sock J.,Delbonis F.,46,23,46,23
Rio Open,2016-02-16,ATP500,Clay,1st Round,Bellucci T.,Dolgopolov O.,Dolgopolov O.,32,33,33,32
Rio Open,2016-02-18,ATP500,Clay,2nd Round,Ferrer D.,Ramos-Vinolas A.,Ferrer D.,6,47,6,47
Rio Open,2016-02-18,ATP500,Clay,2nd Round,Delbonis F.,Lorenzi P.,Delbonis F.,46,50,46,50
Rio Open,2016-02-19,ATP500,Clay,Quarterfinals,Cuevas P.,Delbonis F.,Cuevas P.,45,46,45,46
Rio Open,2016-02-20,ATP500,Clay,Quarterfinals,Ferrer D.,Thiem D.,Thiem D.,6,19,19,6
Rio Open,2016-02-21,ATP500,Clay,Semifinals,Nadal R.,Cuevas P.,Cuevas P.,5,45,45,5
Abierto Mexicano,2016-02-24,ATP500,Hard,1st Round,Dolgopolov O.,Johnson S.,Dolgopolov O.,32,34,32,34
Abierto Mexicano,2016-02-24,ATP500,Hard,2nd Round,Ferrer D.,Dolgopolov O.,Dolgopolov O.,8,32,32,8
Abierto Mexicano,2016-02-25,ATP500,Hard,2nd Round,Nishikori K.,Querrey S.,Querrey S.,6,43,43,6
Abierto Mexicano,2016-02-26,ATP500,Hard,Quarterfinals,Thiem D.,Dimitrov G.,Thiem D.,15,26,15,26
Abierto Mexicano,2016-02-27,ATP500,Hard,Semifinals,Tomic B.,Dolgopolov O.,Tomic B.,21,32,21,32
Abierto Mexicano,2016-02-27,ATP500,Hard,Semifinals,Querrey S.,Thiem D.,Thiem D.,43,15,15,43
Abierto Mexicano,2016-02-28,ATP500,Hard,The Final,Thiem D.,Tomic B.,Thiem D.,15,21,15,21
Dubai Tennis Championships,2016-02-22,ATP500,Hard,1st Round,Garcia-Lopez G.,Lopez F.,Lopez F.,37,24,24,37
Dubai Tennis Championships,2016-02-22,ATP500,Hard,1st Round,Robredo T.,Djokovic N.,Djokovic N.,41,1,1,41
Dubai Tennis Championships,2016-02-23,ATP500,Hard,1st Round,Sousa J.,Berdych T.,Berdych T.,36,7,7,36
Dubai Tennis Championships,2016-02-23,ATP500,Hard,1st Round,Kyrgios N.,Klizan M.,Kyrgios N.,33,25,33,25
Dubai Tennis Championships,2016-02-24,ATP500,Hard,2nd Round,Kohlschreiber P.,Coric B.,Kohlschreiber P.,28,38,28,38
Dubai Tennis Championships,2016-02-25,ATP500,Hard,Quarterfinals,Berdych T.,Kyrgios N.,Kyrgios N.,7,33,33,7
Dubai Tennis Championships,2016-02-25,ATP500,Hard,Quarterfinals,Kohlschreiber P.,Wawrinka S.,Wawrinka S.,28,4,4,28
BNP Paribas Open,2016-03-12,Masters 1000,Hard,2nd Round,Mahut N.,Gasquet R.,Gasquet R.,44,10,10,44
BNP Paribas Open,2016-03-12,Masters 1000,Hard,2nd Round,Ramos-Vinolas A.,Kyrgios N.,Ramos-Vinolas A.,49,27,49,27
BNP Paribas Open,2016-03-12,Masters 1000,Hard,2nd Round,Troicki V.,Mayer L.,Mayer L.,23,46,46,23
BNP Paribas Open,2016-03-12,Masters 1000,Hard,2nd Round,Pella G.,Cuevas P.,Pella G.,40,25,40,25
BNP Paribas Open,2016-03-12,Masters 1000,Hard,2nd Round,Bellucci T.,Coric B.,Coric B.,33,47,47,33
BNP Paribas Open,2016-03-13,Masters 1000,Hard,2nd Round,Pospisil V.,Simon G.,Simon G.,43,19,19,43
BNP Paribas Open,2016-03-13,Masters 1000,Hard,2nd Round,Lopez F.,Garcia-Lopez G.,Lopez F.,21,38,21,38
BNP Paribas Open,2016-03-14,Masters 1000,Hard,2nd Round,Isner J.,Seppi A.,Isner J.,11,42,11,42
BNP Paribas Open,2016-03-14,Masters 1000,Hard,2nd Round,Nadal R.,Muller G.,Nadal R.,5,45,5,45
BNP Paribas Open,2016-03-14,Masters 1000,Hard,3rd Round,Goffin D.,Pella G.,Goffin D.,18,40,18,40
BNP Paribas Open,2016-03-14,Masters 1000,Hard,3rd Round,Dolgopolov O.,Gasquet R.,Gasquet R.,29,10,10,29
BNP Paribas Open,2016-03-14,Masters 1000,Hard,3rd Round,Cilic M.,Mayer L.,Cilic M.,12,46,12,46
BNP Paribas Open,2016-03-15,Masters 1000,Hard,3rd Round,Coric B.,Berdych T.,Berdych T.,47,7,7,47
BNP Paribas Open,2016-03-15,Masters 1000,Hard,3rd Round,Monfils G.,Ramos-Vinolas A.,Monfils G.,16,49,16,49
BNP Paribas Open,2016-03-15,Masters 1000,Hard,3rd Round,Nishikori K.,Johnson S.,Nishikori K.,6,35,6,35
BNP Paribas Open,2016-03-15,Masters 1000,Hard,3rd Round,Lopez F.,Bautista R.,Lopez F.,21,17,21,17
BNP Paribas Open,2016-03-15,Masters 1000,Hard,3rd Round,Sock J.,Thiem D.,Thiem D.,24,13,13,24
BNP Paribas Open,2016-03-16,Masters 1000,Hard,3rd Round,Tsonga J.W.,Querrey S.,Tsonga J.W.,9,36,9,36
BNP Paribas Open,2016-03-16,Masters 1000,Hard,3rd Round,Kohlschreiber P.,Djokovic N.,Djokovic N.,30,1,1,30
BNP Paribas Open,2016-03-16,Masters 1000,Hard,4th Round,Cilic M.,Gasquet R.,Cilic M.,12,10,12,10
BNP Paribas Open,2016-03-16,Masters 1000,Hard,4th Round,Wawrinka S.,Goffin D.,Goffin D.,4,18,18,4
BNP Paribas Open,2016-03-16,Masters 1000,Hard,4th Round,Raonic M.,Berdych T.,Raonic M.,14,7,14,7
BNP Paribas Open,2016-03-17,Masters 1000,Hard,4th Round,Isner J.,Nishikori K.,Nishikori K.,11,6,6,11
BNP Paribas Open,2016-03-17,Masters 1000,Hard,4th Round,Djokovic N.,Lopez F.,Djokovic N.,1,21,1,21
BNP Paribas Open,2016-03-17,Masters 1000,Hard,4th Round,Thiem D.,Tsonga J.W.,Tsonga J.W.,13,9,9,13
BNP Paribas Open,2016-03-17,Masters 1000,Hard,Quarterfinals,Goffin D.,Cilic M.,Goffin D.,18,12,18,12
BNP Paribas Open,2016-03-18,Masters 1000,Hard,Quarterfinals,Monfils G.,Raonic M.,Raonic M.,16,14,14,16
BNP Paribas Open,2016-03-18,Masters 1000,Hard,Quarterfinals,Nadal R.,Nishikori K.,Nadal R.,5,6,5,6
BNP Paribas Open,2016-03-18,Masters 1000,Hard,Quarterfinals,Tsonga J.W.,Djokovic N.,Djokovic N.,9,1,1,9
BNP Paribas Open,2016-03-19,Masters 1000,Hard,Semifinals,Raonic M.,Goffin D.,Raonic M.,14,18,14,18
BNP Paribas Open,2016-03-19,Masters 1000,Hard,Semifinals,Nadal R.,Djokovic N.,Djokovic N.,5,1,1,5
BNP Paribas Open,2016-03-20,Masters 1000,Hard,The Final,Djokovic N.,Raonic M.,Djokovic N.,1,14,1,14
Sony Ericsson Open,2016-03-25,Masters 1000,Hard,2nd Round,Sousa J.,Pospisil V.,Sousa J.,38,45,38,45
Sony Ericsson Open,2016-03-26,Masters 1000,Hard,2nd Round,Ramos-Vinolas A.,Gasquet R.,Gasquet R.,50,10,10,50
Sony Ericsson Open,2016-03-26,Masters 1000,Hard,2nd Round,Seppi A.,Dolgopolov O.,Dolgopolov O.,43,29,29,43
Sony Ericsson Open,2016-03-26,Masters 1000,Hard,2nd Round,Dimitrov G.,Delbonis F.,Dimitrov G.,28,48,28,48
Sony Ericsson Open,2016-03-26,Masters 1000,Hard,2nd Round,Kyrgios N.,Baghdatis M.,Kyrgios N.,26,40,26,40
Sony Ericsson Open,2016-03-27,Masters 1000,Hard,3rd Round,Johnson S.,Berdych T.,Berdych T.,36,7,7,36
Sony Ericsson Open,2016-03-27,Masters 1000,Hard,3rd Round,Troicki V.,Goffin D.,Goffin D.,21,15,15,21
Sony Ericsson Open,2016-03-27,Masters 1000,Hard,3rd Round,Paire B.,Gasquet R.,Gasquet R.,22,10,10,22
Sony Ericsson Open,2016-03-27,Masters 1000,Hard,3rd Round,Simon G.,Cilic M.,Simon G.,19,11,19,11
Sony Ericsson Open,2016-03-27,Masters 1000,Hard,3rd Round,Sousa J.,Djokovic N.,Djokovic N.,38,1,1,38
Sony Ericsson Open,2016-03-28,Masters 1000,Hard,3rd Round,Dolgopolov O.,Nishikori K.,Nishikori K.,29,6,6,29
Sony Ericsson Open,2016-03-28,Masters 1000,Hard,3rd Round,Bautista R.,Tsonga J.W.,Bautista R.,18,9,18,9
Sony Ericsson Open,2016-03-28,Masters 1000,Hard,3rd Round,Dimitrov G.,Murray A.,Dimitrov G.,28,2,28,2
Sony Ericsson Open,2016-03-28,Masters 1000,Hard,3rd Round,Monfils G.,Cuevas P.,Monfils G.,16,25,16,25
Sony Ericsson Open,2016-03-29,Masters 1000,Hard,3rd Round,Raonic M.,Sock J.,Raonic M.,12,24,12,24
Sony Ericsson Open,2016-03-29,Masters 1000,Hard,4th Round,Berdych T.,Gasquet R.,Berdych T.,7,10,7,10
Sony Ericsson Open,2016-03-29,Masters 1000,Hard,4th Round,Thiem D.,Djokovic N.,Djokovic N.,14,1,1,14
Sony Ericsson Open,2016-03-30,Masters 1000,Hard,4th Round,Dimitrov G.,Monfils G.,Monfils G.,28,16,16,28
Sony Ericsson Open,2016-03-30,Masters 1000,Hard,4th Round,Nishikori K.,Bautista R.,Nishikori K.,6,18,6,18
Sony Ericsson Open,2016-03-30,Masters 1000,Hard,Quarterfinals,Simon G.,Goffin D.,Goffin D.,19,15,15,19
Sony Ericsson Open,2016-03-31,Masters 1000,Hard,Quarterfinals,Djokovic N.,Berdych T.,Djokovic N.,1,7,1,7
Sony Ericsson Open,2016-03-31,Masters 1000,Hard,Quarterfinals,Monfils G.,Nishikori K.,Nishikori K.,16,6,6,16
Sony Ericsson Open,2016-04-01,Masters 1000,Hard,Quarterfinals,Kyrgios N.,Raonic M.,Kyrgios N.,26,12,26,12
Sony Ericsson Open,2016-04-01,Masters 1000,Hard,Semifinals,Goffin D.,Djokovic N.,Djokovic N.,15,1,1,15
Sony Ericsson Open,2016-04-02,Masters 1000,Hard,Semifinals,Nishikori K.,Kyrgios N.,Nishikori K.,6,26,6,26
Sony Ericsson Open,2016-04-03,Masters 1000,Hard,The Final,Nishikori K.,Djokovic N.,Djokovic N.,6,1,1,6
U.S. Men's Clay Court Championships,2016-04-09,ATP250,Clay,Quarterfinals,Baghdatis M.,Sock J.,Sock J.,39,25,25,39
U.S. Men's Clay Court Championships,2016-04-09,ATP250,Clay,Semifinals,Isner J.,Sock J.,Sock J.,15,25,25,15
Grand Prix Hassan II,2016-04-10,ATP250,Clay,The Final,Coric B.,Delbonis F.,Delbonis F.,48,47,47,48
Monte Carlo Masters,2016-04-10,Masters 1000,Clay,1st Round,Chardy J.,Kuznetsov An.,Chardy J.,33,46,33,46
Monte Carlo Masters,2016-04-10,Masters 1000,Clay,1st Round,Troicki V.,Simon G.,Simon G.,24,18,18,24
Monte Carlo Masters,2016-04-11,Masters 1000,Clay,1st Round,Ramos-Vinolas A.,Bautista Agut R.,Bautista Agut R.,50,17,17,50
Monte Carlo Masters,2016-04-11,Masters 1000,Clay,1st Round,Garcia-Lopez G.,Bellucci T.,Garcia-Lopez G.,38,35,38,35
Monte Carlo Masters,2016-04-11,Masters 1000,Clay,1st Round,Monfils G.,Muller G.,Monfils G.,16,43,16,43
Monte Carlo Masters,2016-04-12,Masters 1000,Clay,1st Round,Sousa J.,Karlovic I.,Sousa J.,34,30,34,30
Monte Carlo Masters,2016-04-12,Masters 1000,Clay,1st Round,Coric B.,Kohlschreiber P.,Kohlschreiber P.,42,28,28,42
Monte Carlo Masters,2016-04-12,Masters 1000,Clay,1st Round,Lopez F.,Goffin D.,Goffin D.,23,13,13,23
Monte Carlo Masters,2016-04-12,Masters 1000,Clay,2nd Round,Simon G.,Dimitrov G.,Simon G.,18,26,18,26
Monte Carlo Masters,2016-04-12,Masters 1000,Clay,2nd Round,Federer R.,Garcia-Lopez G.,Federer R.,3,38,3,38
Monte Carlo Masters,2016-04-12,Masters 1000,Clay,2nd Round,Bautista Agut R.,Chardy J.,Bautista Agut R.,17,33,17,33
Monte Carlo Masters,2016-04-13,Masters 1000,Clay,2nd Round,Wawrinka S.,Kohlschreiber P.,Wawrinka S.,4,28,4,28
Monte Carlo Masters,2016-04-13,Masters 1000,Clay,2nd Round,Sousa J.,Paire B.,Paire B.,34,22,22,34
Monte Carlo Masters,2016-04-13,Masters 1000,Clay,2nd Round,Raonic M.,Cuevas P.,Raonic M.,12,25,12,25
Monte Carlo Masters,2016-04-14,Masters 1000,Clay,3rd Round,Paire B.,Murray A.,Murray A.,22,2,2,22
Monte Carlo Masters,2016-04-14,Masters 1000,Clay,3rd Round,Wawrinka S.,Simon G.,Wawrinka S.,4,18,4,18
Monte Carlo Masters,2016-04-14,Masters 1000,Clay,3rd Round,Thiem D.,Nadal R.,Nadal R.,14,5,5,14
Monte Carlo Masters,2016-04-14,Masters 1000,Clay,3rd Round,Bautista Agut R.,Federer R.,Federer R.,17,3,3,17
Monte Carlo Masters,2016-04-15,Masters 1000,Clay,Quarterfinals,Murray A.,Raonic M.,Murray A.,2,12,2,12
Monte Carlo Masters,2016-04-15,Masters 1000,Clay,Quarterfinals,Wawrinka S.,Nadal R.,Nadal R.,4,5,5,4
Monte Carlo Masters,2016-04-15,Masters 1000,Clay,Quarterfinals,Tsonga J.W.,Federer R.,Tsonga J.W.,9,3,9,3
Monte Carlo Masters,2016-04-16,Masters 1000,Clay,Semifinals,Nadal R.,Murray A.,Nadal R.,5,2,5,2
Monte Carlo Masters,2016-04-16,Masters 1000,Clay,Semifinals,Tsonga J.W.,Monfils G.,Monfils G.,9,16,16,9
Monte Carlo Masters,2016-04-17,Masters 1000,Clay,The Final,Nadal R.,Monfils G.,Nadal R.,5,16,5,16
Open Banco Sabadell,2016-04-20,ATP500,Clay,2nd Round,Kohlschreiber P.,Carreno Busta P.,Kohlschreiber P.,27,49,27,49
Open Banco Sabadell,2016-04-20,ATP500,Clay,2nd Round,Nadal R.,Granollers M.,Nadal R.,5,50,5,50
Open Banco Sabadell,2016-04-21,ATP500,Clay,3rd Round,Fognini F.,Troicki V.,Fognini F.,31,24,31,24
Open Banco Sabadell,2016-04-21,ATP500,Clay,3rd Round,Nishikori K.,Chardy J.,Nishikori K.,6,33,6,33
